鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街及吉祥六街,24.13,住,,,1130903,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,104.89,2,2,1,有,無,7880000,81315,坡道平面,22.74,1200000,,RPQNMLNLRHJGFAU17CB,天悅,B棟B5號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中正路315巷2弄,13.78,商,,,1130829,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.85,3,2,2,有,無,10700000,99402,坡道機械,9.26,900000,,RPRNMLNLRHJGFAU27CB,三上御景,B棟1號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街及吉祥六街,36.9,住,,,1130914,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,148.37,3,2,2,有,無,11750000,83181,坡道平面,22.74,1300000,,RPPNMLOLRHJGFAU17CB,天悅,B棟B6號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街及吉祥六街,37.56,住,,,1130914,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,150.63,3,2,2,有,無,10700000,73501,坡道平面,22.74,1300000,,RPQNMLOLRHJGFAU27CB,天悅,A棟A3號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,16.39,商,,,1130923,土地7建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.68,3,2,2,有,無,17600000,113208,一樓平面,16.53,2300000,,RPPNMLKMRHJGFAU86CB,鑫晶鑽,A1棟12FA7號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市豐村,29.56,住,,,1130915,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.81,2,2,1,有,無,8650000,107041,其他,0.0,1200000,本停車位係屬於約定專用買受人有使用權，無所有權面積：12.65平方公尺,RPQNMLRJIIJGFAU56CB,沐谷上流,1棟4樓A號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,26.56,住,,,1131003,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.94,3,2,2,有,無,11300000,82370,坡道平面,24.75,1400000,,RPRNMLRJIIJGFAU66CB,日出好學,D棟14號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,26.56,住,,,1131006,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.94,3,2,2,有,無,11000000,79874,坡道平面,24.75,1400000,,RPSNMLRJIIJGFAU76CB,日出好學,B棟11號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,11.29,商,,,1131001,土地7建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.11,2,2,2,有,無,10100000,105789,坡道平面,2.0,250000,,RPTNMLRJIIJGFAU86CB,鑫晶鑽,A1棟7FA8號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,10.97,商,,,1130922,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.96,2,2,2,有,無,10550000,90823,坡道平面,24.72,1900000,,RPUNMLRJIIJGFAU96CB,超綻,A棟2-06F號,
