編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
RPQNMLTJMHJGFAU07CB,坡道平面,1200000,24.72,地下二樓
RPSNMLTJMHJGFAU27CB,坡道平面,1300000,24.72,地下一樓
RPVNMLTJMHJGFAU57CB,其他,1800000,31.88,地下一樓
RPRNMLLKMHJGFAU09CB,坡道平面,1800000,24.72,地下二樓
RPRNMLTJMHJGFAU17CB,坡道平面,1300000,24.72,地下一樓
RPRNMLKKMHJGFAU98CB,坡道平面,1200000,22.74,地下一樓
RPVNMLLKMHJGFAU86CB,坡道機械,900000,9.26,地下二樓
RPPNMLLKMHJGFAU98DB,坡道平面,1500000,13.75,一樓
RPTNMLMKMHJGFAU76CB,一樓平面,1600000,32.94,一樓
RPRNMLMKMHJGFAU56CB,一樓平面,1150000,13.75,一樓
RPPNMLMKMHJGFAU09DB,升降平面,1000000,29.90,地下二樓
RPSNMLLKMHJGFAU56CB,坡道平面,497000,12.65,地下一樓
RPSNMLPKMHJGFAU96CB,一樓平面,1150000,13.75,一樓
RPPNMLPKMHJGFAU66CB,坡道平面,1400000,24.75,地下一樓
RPQNMLPKMHJGFAU76CB,坡道平面,541000,13.75,地下一樓
RPUNMLKKMHJGFAU66CB,一樓平面,1200000,13.21,一樓
RPUNMLMKMHJGFAU86CB,一樓平面,1500000,13.75,一樓
RPSNMLQKMHJGFAU07CB,升降機械,700000,5.15,一樓
RPQNMLRKMHJGFAU96CB,坡道機械,900000,9.26,地下二樓
RPRNMLRKMHJGFAU07CB,坡道平面,1350000,9.26,地下二樓
RPPNMLRKMHJGFAU86CB,坡道平面,1800000,25.00,地下一樓
RPPNMLNLMHJGFAU56CB,坡道平面,1650000,28.00,地下三樓
RPQNMLNLMHJGFAU66CB,其他,1300000,13.75,一樓
RPPNMLNLMHJGFAU66DB,一樓平面,1300000,13.84,一樓
RPSNMLMLMHJGFAU76CB,坡道平面,2000000,25.00,地下一樓
RPRNMLQLMHJGFAU07CB,坡道平面,1250000,26.44,地下一樓
RPPNMLQLMHJGFAU86CB,坡道平面,1250000,26.44,地下一樓
RPRNMLTLMHJGFAU37CB,坡道機械,1500000,9.26,地下二樓
RPPNMLTLMHJGFAU17CB,升降機械,700000,5.15,一樓
RPPNMLMJNHJGFAU98CB,坡道平面,1900000,25.00,地下一樓
RPQNMLQLMHJGFAU96CB,坡道平面,1250000,26.44,地下一樓
RPQNMLMJNHJGFAU09CB,升降機械,1000000,17.53,地下一樓
RPQNMLRLMHJGFAU07CB,一樓平面,1800000,18.28,一樓
RPSNMLPLMHJGFAU07CB,坡道平面,1500000,41.49,地下二樓
RPRNMLQJNHJGFAU96CB,升降機械,600000,5.15,一樓
RPQNMLRJNHJGFAU96CB,坡道平面,1700000,24.72,地下三樓
RPPNMLQJNHJGFAU86DB,升降平面,1000000,29.90,地下二樓
RPUNMLQJNHJGFAU27CB,坡道平面,1500000,41.49,地下二樓
RPRNMLRJNHJGFAU07CB,坡道平面,1850000,30.25,地下二樓
RPQNMLSJNHJGFAU17DB,一樓平面,1300000,13.84,一樓
RPPNMLTJNHJGFAU17DB,一樓平面,1500000,13.75,一樓
RPPNMLOKNHJGFAU76DB,其他,1700000,34.10,一樓
RPVNMLNKNHJGFAU17CB,坡道平面,1700000,25.00,地下二樓
RPUNMLTJNHJGFAU57CB,坡道機械,600000,7.35,一樓
RPSNMLSJNHJGFAU27CB,坡道平面,1200000,24.72,地下二樓
RPPNMLPKNHJGFAU76CB,一樓平面,1200000,13.21,一樓
RPSNMLTJNHJGFAU37CB,坡道機械,600000,7.35,一樓
RPPNMLKKNHJGFAU88CB,坡道平面,1300000,25.34,地下一樓
RPTNMLTJNHJGFAU47CB,坡道機械,600000,7.35,一樓
RPVNMLTJNHJGFAU67CB,坡道平面,1200000,24.75,地下二樓
RPTNMLNKNHJGFAU96CB,坡道平面,1800000,25.00,地下二樓
RPUNMLNKNHJGFAU07CB,坡道平面,2200000,25.00,地下二樓
RPPNMLRKNHJGFAU96CB,坡道平面,1200000,22.74,地下一樓
