鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
吉安鄉,土地,仁義段65地號,352.0,都市：其他:道路用地,,,1140120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7200000,20455,,0.0,0,包含公共設施保留地用地；,RPRNMLKLJHKGFAU88DA,0.0,0.0,0.0,無,024
光復鄉,土地,大平段156地號,2106.0,,一般農業區,農牧用地,1140106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2700000,1282,,0.0,0,,RPPNMLPJKHKGFBU56DA,0.0,0.0,0.0,無,025
萬榮鄉,土地,新白陽段1282地號,3470.11,,山坡地保育區,農牧用地,1140110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,180000,52,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJKHKGFBU66EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市明心街２３號五樓之五,19.65,住,,,1140101,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860106,106.85,3,2,2,有,有,5400000,50538,,0.0,0,其他增建；,RPROMLPJKHKGFAU76DA,68.2,0.0,8.66,有,026
花蓮市,房地(土地+建物),花蓮縣花蓮市化道路８９巷２６號三樓之二,16.8,住,,,1140102,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830401,121.25,3,2,2,有,有,6200000,51134,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLRJKHKGFAU17DA,80.36,0.0,13.66,有,027
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉光榮一街２７號二樓,159.72,,鄉村區,乙種建築用地,1140103,土地1建物1車位0,二層,二層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0710000,67.02,3,1,1,有,無,1000000,14921,,0.0,0,,RPOPMLRJKHKGFAU76DA,67.02,0.0,0.0,無,
富里鄉,土地,學園段297地號,1240.67,,山坡地保育區,農牧用地,1140115,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,967,,0.0,0,,RPPNMLQJKHKGFCU76DA,0.0,0.0,0.0,無,028
玉里鎮,土地,民南段1195-4地號,2516.0,,山坡地保育區,農牧用地,1140114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3600000,1431,,0.0,0,未登記建物；,RPQNMLQJKHKGFCU86DA,0.0,0.0,0.0,無,029
花蓮市,房地(土地+建物),花蓮縣花蓮市民權路１０９之１號五樓,37.3,住,,,1140102,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),辦公用,鋼筋混凝土造,0770620,128.82999999999998,3,2,2,有,無,5000000,38811,,0.0,0,,RPWOMLMJJHKGFAU86DA,104.96,0.0,9.76,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市北昌五街５７巷２號,162.0,住,,,1140107,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0721013,96.22,3,2,2,有,無,8500000,88339,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLSJKHKGFAU07DA,96.22,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市介林五街８１號,88.73,住,,,1140103,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830929,174.47,4,2,4,有,無,7600000,43560,,0.0,0,其他增建；包含公共設施保留地用地；,RPPNMLKKKHKGFAU68DA,151.94,6.35,16.18,無,030
光復鄉,土地,阿托莫段1310-1地號,1109.33,,一般農業區,農牧用地,1140124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,554665,500,,0.0,0,,RPPNMLLKKHKGFBU98EA,0.0,0.0,0.0,無,
新城鄉,土地,嘉南段647地號,236.0,住,,,1140117,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,25424,,0.0,0,,RPQNMLOJKHKGFAU09DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國興一街９５號六樓之十六,5.95,都市：其他:倉儲區,,,1140123,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0810930,26.83,1,0,1,有,有,1550000,57771,,0.0,0,,RPQPMLRJKHKGFAU96DA,20.13,0.0,0.0,有,031
花蓮市,房地(土地+建物),花蓮縣花蓮市豐村１０５之３７號,143.95,農,,,1140110,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960518,167.25,3,2,4,有,無,12100000,72347,,0.0,0,其他增建；,RPQNMLSJKHKGFAU86DA,157.35,0.0,9.9,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路２７３巷２２號,59.0,住,,,1140105,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0600924,82.68,2,3,1,有,無,5220000,63135,,0.0,0,頂樓加蓋；其他增建；,RPRNMLKKKHKGFAU88DA,82.68,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十三街９號四樓之五,6.36,住,,,1140122,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821014,26.39,1,1,1,有,有,1800000,68208,,0.0,0,含傢俱設備費；,RPXNMLMKKHKGFAU07DA,19.22,0.0,0.0,有,032
新城鄉,土地,嘉南段647-1地號,115.0,住,,,1140117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,34783,,0.0,0,,RPPNMLOJKHKGFAU98DA,0.0,0.0,0.0,無,
新城鄉,房地(土地+建物),花蓮縣新城鄉中山路１巷１６號,90.52,農,,,1140123,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670131,90.9,2,2,3,有,無,4600000,50605,,0.0,0,其他增建；,RPRPMLRJKHKGFAU07DA,90.9,0.0,0.0,無,033
吉安鄉,房地(土地+建物),花蓮縣吉安鄉仁里一街１號八樓之五,19.37,商,,,1140111,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070129,120.72999999999999,3,2,2,有,有,10600000,87799,,0.0,0,,RPPOMLMKKHKGFAU98DA,79.5,0.0,8.33,有,034
鳳林鎮,土地,中興段865地號,10777.78,,山坡地保育區,農牧用地,1140108,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1800000,167,,0.0,0,地上物:檳榔,RPPNMLMKKHKGFBU98DA,0.0,0.0,0.0,無,
玉里鎮,土地,玉昌段570-1地號,102.0,都市：其他:住宅區,,,1140124,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2728908,26754,,0.0,0,包含公共設施保留地用地；協議價購；,RPQNMLLKKHKGFCU09DA,0.0,0.0,0.0,無,
萬榮鄉,土地,萬利段1951地號,733.56,,山坡地保育區,農牧用地,1140113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,360000,491,,0.0,0,未登記建物；,RPPNMLNKKHKGFBU56EA,0.0,0.0,0.0,無,
秀林鄉,土地,下台地段964地號,3340.04,,一般農業區,農牧用地,1140109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,1347,,0.0,0,農作物；,RPTNMLOLJHKGFAU86DA,0.0,0.0,0.0,無,035
花蓮市,房地(土地+建物),花蓮縣花蓮市和平路２３５號,57.0,住,,,1140103,土地1建物1車位0,全,一層,透天厝,住家用,木石磚造（雜木）,04101,32.66,2,1,1,有,無,6650000,203613,,0.0,0,,RPSNMLNKKHKGFAU66DA,32.66,0.0,0.0,無,
花蓮市,車位,花蓮縣花蓮市中興路４３巷２、３號等２８戶,0.0,,,,1140108,土地0建物1車位1,,,其他,,,,14.3,0,0,0,無,有,760000,,坡道平面,14.3,760000,建物坐落地號：民享段1206地號；僅車位交易；,RPUNMLOKKHKGFAU96DA,0.0,0.0,0.0,有,036
玉里鎮,土地,玉城段1341-2地號,213.0,都市：其他:道路用地,,,1140124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4071495,19115,,0.0,0,包含公共設施保留地用地；協議價購；,RPSNMLLKKHKGFCU66DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,瑞新段114地號,163.0,住,,,1140101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2930000,17975,,0.0,0,,RPPNMLQKKHKGFCU86DA,0.0,0.0,0.0,無,037
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路２４３巷３４號,54.0,住,,,1140101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0591125,85.78,3,2,1,有,無,5500000,64118,,0.0,0,頂樓加蓋；其他增建；,RPTOMLRKKHKGFAU27DA,85.78,0.0,0.0,無,038
萬榮鄉,土地,馬遠段1333-502地號,5010.0,,山坡地保育區,農牧用地,1140117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,280000,56,,0.0,0,,RPPNMLSKKHKGFBU96DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,興北段1148地號,2710.55,,一般農業區,農牧用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2100000,775,,0.0,0,,RPRNMLKKKHKGFCU09DA,0.0,0.0,0.0,無,039
