編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLLKHKGFCU09DA,42,121.25,住商用,ＲＣ造、ＲＣ加強磚造,71年10月8日,二層,一層 二層 陽台 騎樓,全筆移轉
RPOOMLQLKHKGFAU76DA,46,87.76,住家用,鋼筋混凝土加強磚造,68年5月6日,二層,一層 二層,全筆移轉
RPRNMLRLKHKGFAU07DA,27,157.71,農舍,鋼筋混凝土造,86年10月21日,二層,一層 二層 陽台 平台 屋頂突出物,全筆移轉
RPPOMLOLKHKGFAU66DA,27,175.22,住家用,鋼筋混凝土造,87年6月23日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPUNMLOLKHKGFAU07DA,4,91.29,集合住宅,鋼筋混凝土造,110年5月18日,九層,三層 陽台,全筆移轉
RPUNMLOLKHKGFAU07DA,4,45.25,共有部份,鋼筋混凝土造,110年5月18日,九層,,持分移轉
RPUNMLOLKHKGFAU07DA,4,13.60,共有部份（停車空間）,鋼筋混凝土造,110年5月18日,九層,,持分移轉
RPUNMLRLKHKGFAU37DA,49,96.00,住家用,鋼筋混凝土加強磚造,65年6月9日,二層,一層 二層 騎樓,全筆移轉
RPQNMLQLKHKGFBU96DA,33,64.02,住家用,磚造,81年1月13日,一層,一層,全筆移轉
RPWNMLPLKHKGFAU37DA,22,.43,住家用,鋼骨造,92年2月21日,十二層,一層 二層,持分移轉
RPWNMLPLKHKGFAU37DA,22,.43,住家用,鋼骨造,92年2月21日,十二層,一層 二層,持分移轉
RPWNMLPLKHKGFAU37DA,22,109.01,住家用,鋼骨造,92年2月21日,十二層,十一層 十二層 陽台 雨遮,全筆移轉
RPWNMLPLKHKGFAU37DA,22,14.27,共有部份,鋼骨造,92年2月21日,十二層,,持分移轉
RPTNMLNJKHKGFAU66DA,44,104.10,住家用,鋼筋混凝土加強磚造,70年3月3日,二層,一層 二層,全筆移轉
RPWNMLPLKHKGFAU37DA,22,19.82,共有部份,鋼骨造,92年2月21日,十二層,,持分移轉
RPVNMLRLKHKGFAU47DA,1,92.61,集合住宅,鋼筋混凝土造,113年6月28日,十四層,十三層 陽台,全筆移轉
RPVNMLRLKHKGFAU47DA,1,36.45,共有部份,鋼筋混凝土造,113年6月28日,十四層,,持分移轉
RPVNMLRLKHKGFAU47DA,1,24.01,共有部分（停車空間、車道）,鋼筋混凝土造,113年6月28日,十四層,,持分移轉
RPSNMLNJLHKGFAU66DA,41,105.86,住家用,鋼筋混凝土加強磚造,73年4月14日,二層,一層 二層,全筆移轉
RPXNMLOJLHKGFAU27DA,47,146.79,住商用,鋼筋混凝土造,67年4月1日,三層,一層 二層 三層 騎樓 地下層,全筆移轉
RPQOMLOJLHKGFAU66DA,,70.49,住家用,鋼筋混凝土加強磚造,70年0月18日,一層,一層,全筆移轉
RPOOMLOJLHKGFAU09DA,26,102.98,住家用,鋼筋混凝土造,88年5月20日,四層,一層 二層 陽台 平台 雨遮,全筆移轉
RPOOMLOJLHKGFAU09DA,26,16.52,共有部份,鋼筋混凝土造,88年5月20日,四層,,持分移轉
RPOOMLOJLHKGFAU09DA,26,14.25,停車空間,鋼筋混凝土造,88年5月20日,四層,,持分移轉
RPOOMLOJLHKGFAU09DA,26,18.48,共有部份,鋼筋混凝土造,88年5月20日,四層,,持分移轉
RPPOMLOJLHKGFAU56DA,43,110.40,住商用,鋼筋混凝土造,70年12月30日,七層,二層,全筆移轉
RPPOMLOJLHKGFAU56DA,43,18.61,共有部份,鋼筋混凝土造,70年12月30日,七層,,持分移轉
RPVNMLQLKHKGFAU37DA,32,174.01,住商用,鋼筋混凝土造,81年7月28日,三層,一層 二層 三層 陽台 屋頂突出物 見其他登記事項,全筆移轉
RPQOMLRLKHKGFAU07DA,27,89.17,住宅,鋼筋混凝土造,87年4月3日,十層,六層 陽台,全筆移轉
RPQOMLRLKHKGFAU07DA,27,17.00,共有部份,鋼筋混凝土造,87年4月3日,十層,,持分移轉
RPQOMLRLKHKGFAU07DA,27,9.58,共有部份,鋼筋混凝土造,87年4月3日,十層,,持分移轉
RPXNMLNJLHKGFAU17DA,24,176.91,住家用,鋼筋混凝土造,90年4月25日,三層,一層 二層 三層 陽台 夾層,全筆移轉
RPSNMLPJLHKGFAU86DA,1,197.80,集合住宅,鋼筋混凝土造,112年8月11日,九層,三層 陽台,全筆移轉
RPSNMLPJLHKGFAU86DA,1,80.19,共有部份,鋼筋混凝土造,112年8月11日,九層,,持分移轉
RPSNMLPJLHKGFAU86DA,1,16.54,共有部分（停車空間）,鋼筋混凝土造,112年8月11日,九層,,持分移轉
RPWNMLPJLHKGFAU27DA,37,85.95,住家用,鋼筋混凝土造,76年10月15日,四層,二層 陽台,全筆移轉
RPWNMLPJLHKGFAU27DA,37,13.96,共有部份,鋼筋混凝土造,76年10月15日,四層,,持分移轉
RPROMLPJLHKGFAU86DA,48,90.00,住家用,鋼筋混凝土加強磚造,66年5月12日,二層,一層 二層,全筆移轉
RPPOMLPJLHKGFAU66DA,34,157.98,工廠、辦公室、單身員工宿舍,鋼筋混凝土造,79年12月28日,三層,一層 二層 三層 陽台,全筆移轉
RPSOMLQJLHKGFAU07DA,22,183.82,商業用,鋼筋混凝土造,91年10月28日,三層,一層 二層 三層 陽台,全筆移轉
RPPOMLQJLHKGFAU76DA,47,108.67,住家用,鋼筋混凝土加強磚造,67年3月3日,二層,一層 二層,全筆移轉
RPUOMLQJLHKGFAU27DA,34,115.40,住家用,鋼筋混凝土造,79年7月25日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPTOMLQJLHKGFAU17DA,6,207.29,住家用,鋼筋混凝土造,107年9月4日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLNKKIJGFAU56DA,38,145.75,住家用,鋼筋混凝土造,75年7月21日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPPNMLRJLHKGFBU86DA,36,153.19,住商用,鋼筋混凝土造,77年10月7日,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPVOMLQKKIJGFAU37DA,2,52.44,集合住宅,鋼筋混凝土造,112年4月6日,八層,七層 陽台,全筆移轉
RPVOMLQKKIJGFAU37DA,2,33.50,共有部份,鋼筋混凝土造,112年4月6日,八層,,持分移轉
RPVOMLQKKIJGFAU37DA,2,17.15,共有部份,鋼筋混凝土造,112年4月6日,八層,,持分移轉
RPOPMLQKKIJGFAU76DA,26,34.88,住家用,鋼筋混凝土造,87年10月6日,五層,四層 陽台,全筆移轉
RPOPMLQKKIJGFAU76DA,26,18.21,共有部份,鋼筋混凝土造,87年10月6日,五層,,持分移轉
RPRNMLSKKIJGFAU07DA,44,123.74,住家用,鋼筋混凝土加強磚造,69年10月8日,二層,一層 二層,全筆移轉
RPPNMLLKKIJGFBU98EA,41,39.61,住家用,鋼筋混凝土加強磚造,72年9月30日,二層,一層 二層 騎樓,持分移轉
RPWNMLTKKIJGFAU67DA,,68.28,集合住宅,鋼筋混凝土造,113年8月14日,六層,二層 陽台,全筆移轉
RPWNMLTKKIJGFAU67DA,,25.87,共有部份,鋼筋混凝土造,113年8月14日,六層,,持分移轉
RPSNMLNLKIJGFAU76DA,,163.43,住宅,鋼筋混凝土造,113年8月14日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLMLKIJGFAU98DA,1,16.68,供特定人長期住宿之場所（集合住宅）,鋼筋混凝土造,113年2月7日,七層,七層,全筆移轉
RPPNMLMLKIJGFAU98DA,1,8.10,共有部份,鋼筋混凝土造,113年2月7日,七層,,持分移轉
RPVNMLKLKIJGFAU76DA,27,39.81,住家用,鋼筋混凝土造,87年5月7日,十層,十層 陽台,全筆移轉
RPVNMLKLKIJGFAU76DA,27,9.42,共有部份,鋼筋混凝土造,87年5月7日,十層,,持分移轉
RPQNMLRKKIJGFBU96DA,46,33.80,住宅,木石磚造（磚石造）,,一層,一層,全筆移轉
